,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
510,20.645000000000003,20.688000000000002,20.730000000000004,20.773000000000003,20.816000000000003,20.858000000000004,20.901000000000003,20.943,20.986000000000004,21.029000000000003,21.071,21.113,21.156,21.199,21.241,21.284,21.326,21.369,21.412,21.454,21.497
520,21.07,21.113,21.156,21.198,21.241,21.284,21.326,21.369,21.412,21.454,21.497,21.54,21.582,21.625,21.668,21.71,21.753,21.796,21.838,21.881,21.924
530,21.497999999999998,21.541,21.583,21.625999999999998,21.669,21.711,21.753999999999998,21.796,21.839,21.881999999999998,21.924,21.966,22.009,22.052,22.094,22.137,22.179,22.222,22.265,22.307,22.35
540,21.924000000000003,21.966,22.009000000000004,22.051000000000002,22.094,22.137000000000004,22.179000000000002,22.222,22.265000000000004,22.307000000000002,22.35,22.393,22.435,22.478,22.521,22.563,22.606,22.649,22.691,22.734,22.776
550,22.349,22.392,22.435,22.477,22.52,22.562,22.605,22.648,22.69,22.733,22.776,22.819,22.862,22.904,22.947,22.99,23.032,23.075,23.117,23.16,23.203
560,22.776999999999997,22.82,22.862,22.904999999999998,22.948,22.99,23.032999999999998,23.075,23.118,23.160999999999998,23.203,23.245,23.288,23.331,23.373,23.416,23.458,23.501,23.544,23.586,23.629
570,23.203000000000003,23.246000000000002,23.288000000000004,23.331000000000003,23.374000000000002,23.416000000000004,23.459000000000003,23.501,23.544000000000004,23.587000000000003,23.629,23.671,23.714,23.757,23.799,23.842,23.884,23.927,23.97,24.012,24.055
580,23.63,23.672,23.715,23.756999999999998,23.8,23.843,23.884999999999998,23.928,23.97,24.012999999999998,24.055,24.097,24.14,24.182,24.225,24.267,24.31,24.353,24.395,24.438,24.48
590,24.055,24.097,24.14,24.182000000000002,24.225,24.267,24.310000000000002,24.352,24.395,24.437,24.48,24.523,24.565,24.608,24.65,24.693,24.735,24.778,24.82,24.863,24.905
600,24.480000000000004,24.522000000000002,24.565,24.607000000000003,24.650000000000002,24.692000000000004,24.735000000000003,24.777,24.820000000000004,24.862000000000002,24.905,24.948,24.99,25.033,25.075,25.118,25.16,25.203,25.245,25.288,25.33
610,24.904999999999998,24.947999999999997,24.989999999999995,25.032999999999998,25.074999999999996,25.116999999999997,25.159999999999997,25.201999999999998,25.244999999999997,25.286999999999995,25.33,25.373,25.415,25.458,25.5,25.543,25.585,25.627,25.67,25.712,25.755
620,25.331,25.374,25.415999999999997,25.458,25.500999999999998,25.543,25.586,25.627999999999997,25.669999999999998,25.712999999999997,25.755,25.797,25.84,25.882,25.924,25.967,26.009,26.052,26.094,26.136,26.179
630,25.755999999999997,25.798,25.840999999999998,25.882999999999996,25.924999999999997,25.967999999999996,26.009999999999998,26.051999999999996,26.094999999999995,26.136999999999997,26.179,26.221,26.263,26.306,26.348,26.39,26.433,26.475,26.517,26.56,26.602
640,26.179000000000002,26.221,26.264,26.306,26.348,26.39,26.433,26.475,26.517,26.560000000000002,26.602,26.644,26.687,26.729,26.771,26.814,26.856,26.898,26.94,26.983,27.025
650,26.602999999999998,26.644999999999996,26.686999999999998,26.729999999999997,26.772,26.813999999999997,26.855999999999998,26.897999999999996,26.940999999999995,26.982999999999997,27.025,27.067,27.109,27.152,27.194,27.236,27.278,27.32,27.363,27.405,27.447
660,27.025,27.067999999999998,27.11,27.151999999999997,27.194,27.235999999999997,27.278,27.319999999999997,27.363,27.404999999999998,27.447,27.489,27.531,27.574,27.616,27.658,27.7,27.742,27.784,27.826,27.869
670,27.448999999999998,27.491,27.533,27.575,27.617,27.659,27.701,27.743,27.785,27.826999999999998,27.869,27.911,27.953,27.995,28.037,28.079,28.121,28.163,28.205,28.247,28.289
680,27.868000000000002,27.910000000000004,27.952,27.994000000000003,28.036,28.078000000000003,28.120000000000005,28.162000000000003,28.204000000000004,28.246000000000002,28.289,28.332,28.374,28.416,28.458,28.5,28.542,28.584,28.626,28.668,28.71
690,28.291,28.333000000000002,28.375,28.417,28.459000000000003,28.501,28.543000000000003,28.585,28.626,28.668000000000003,28.71,28.752,28.794,28.835,28.877,28.919,28.961,29.003,29.045,29.087,29.129
700,28.710000000000004,28.752000000000002,28.794000000000004,28.836000000000002,28.878000000000004,28.92,28.961000000000002,29.003000000000004,29.045,29.087000000000003,29.129,29.171,29.213,29.255,29.297,29.338,29.38,29.422,29.464,29.506,29.548
710,29.130999999999997,29.171999999999997,29.213999999999995,29.255999999999997,29.298,29.338999999999995,29.380999999999997,29.423,29.464999999999996,29.506999999999998,29.548,29.589,29.631,29.673,29.715,29.757,29.798,29.84,29.882,29.924,29.965
720,29.548,29.589,29.631,29.673,29.714,29.756,29.798,29.84,29.881,29.923,29.965,30.007,30.049,30.09,30.132,30.174,30.216,30.257,30.299,30.341,30.382
730,29.966000000000005,30.007,30.049000000000003,30.090000000000003,30.132,30.174000000000003,30.215000000000003,30.257,30.298000000000002,30.340000000000003,30.382,30.424,30.466,30.507,30.549,30.59,30.632,30.674,30.715,30.757,30.798
740,30.382999999999996,30.423999999999996,30.465999999999998,30.506999999999998,30.548999999999996,30.589999999999996,30.631999999999998,30.673,30.714999999999996,30.755999999999997,30.798,30.84,30.881,30.923,30.964,31.006,31.047,31.089,31.13,31.172,31.213
750,30.798000000000002,30.840000000000003,30.881,30.922,30.964000000000002,31.005000000000003,31.047,31.088,31.130000000000003,31.171000000000003,31.213,31.255,31.296,31.338,31.379,31.421,31.462,31.504,31.545,31.586,31.628
760,31.215000000000003,31.256,31.298000000000002,31.339,31.38,31.422,31.463,31.504,31.546,31.587,31.628,31.669,31.71,31.752,31.793,31.834,31.876,31.917,31.958,32.0,32.041
770,31.62899999999999,31.669999999999995,31.71099999999999,31.751999999999995,31.792999999999992,31.834999999999994,31.87599999999999,31.916999999999994,31.95799999999999,31.999999999999993,32.041,32.082,32.124,32.165,32.206,32.247,32.289,32.33,32.371,32.412,32.453
780,32.041000000000004,32.08200000000001,32.123000000000005,32.16400000000001,32.206,32.24700000000001,32.288000000000004,32.32900000000001,32.370000000000005,32.41100000000001,32.453,32.495,32.536,32.577,32.618,32.659,32.7,32.742,32.783,32.824,32.865
790,32.455000000000005,32.496,32.537000000000006,32.578,32.61900000000001,32.660000000000004,32.701,32.742000000000004,32.783,32.824000000000005,32.865,32.906,32.947,32.988,33.029,33.07,33.111,33.152,33.193,33.234,33.275
800,32.864999999999995,32.906,32.946999999999996,32.988,33.028999999999996,33.07,33.111,33.151999999999994,33.193,33.233999999999995,33.275,33.316,33.357,33.398,33.439,33.48,33.521,33.562,33.603,33.644,33.685
810,33.277,33.31700000000001,33.358000000000004,33.39900000000001,33.440000000000005,33.481,33.522000000000006,33.562000000000005,33.603,33.644000000000005,33.685,33.726,33.767,33.808,33.848,33.889,33.93,33.971,34.012,34.053,34.093
820,33.68500000000001,33.726000000000006,33.766000000000005,33.80700000000001,33.848000000000006,33.88900000000001,33.92900000000001,33.970000000000006,34.01100000000001,34.05200000000001,34.093,34.134,34.175,34.216,34.257,34.297,34.338,34.379,34.42,34.46,34.501
