Designator,Mid X,Mid Y,Rotation,Layer
R19002,68.34,-142.385001,0.0,top
R19003,65.845,-141.780001,270.0,top
R19005,69.5075,-139.030001,0.0,top
R21002,28.645,-106.052501,90.0,top
R21003,32.795,-106.147501,90.0,top
R21004,34.875,-109.030001,270.0,top
R21005,38.325,-108.600001,0.0,top
R21006,35.075,-111.475001,90.0,top
R21009,36.595,-111.475001,90.0,top
R22001,133.97,-106.115001,270.0,top
R22002,136.93,-105.915001,180.0,top
R23001,89.175,-142.363001,180.0,top
R23002,87.165,-142.363001,0.0,top
R23003,84.67,-141.758001,270.0,top
R23005,88.3325,-139.008001,0.0,top
R25002,12.535,-106.077501,90.0,top
R25003,16.685,-106.172501,90.0,top
R25004,18.765,-109.055001,270.0,top
R25005,22.215,-108.625001,0.0,top
R25006,18.965,-111.500001,90.0,top
R25009,20.485,-111.500001,90.0,top
R26001,118.055,-106.130001,270.0,top
R26002,121.015,-105.930001,180.0,top
R3001,51.21,-140.860001,0.0,top
R3002,114.042,-132.075001,270.0,top
R3003,125.353,-131.995001,270.0,top
R3004,103.05,-132.090001,270.0,top
R3005,130.7275,-133.272501,270.0,top
R3006,149.6,-133.140001,270.0,top
R3007,144.83,-133.180001,270.0,top
R3008,135.46,-133.240001,270.0,top
R3009,140.06,-133.190001,270.0,top
R4002,104.6675,-122.727501,270.0,top
R4003,100.5175,-122.632501,270.0,top
R4004,98.4375,-119.75,90.0,top
R4005,94.9875,-120.18,180.0,top
R4006,98.2375,-117.305,270.0,top
R4009,96.7175,-117.305,270.0,top
R5002,77.485,-106.052501,90.0,top
R5003,81.635,-106.147501,90.0,top
R5004,83.715,-109.030001,270.0,top
R5005,87.165,-108.600001,0.0,top
R5006,83.915,-111.475001,90.0,top
R5009,85.435,-111.475001,90.0,top
R6001,202.78073,-109.351975,0.0,top
R6002,202.78073,-110.876975,0.0,top
R6003,202.78073,-112.401975,0.0,top
R6004,202.78073,-116.976975,0.0,top
R6005,202.78073,-118.526975,0.0,top
R6006,202.78073,-120.076975,0.0,top
R6007,202.79073,-113.921975,0.0,top
R6008,202.78073,-115.451975,0.0,top
R6009,202.78073,-121.601975,0.0,top
R6010,202.78073,-123.166975,0.0,top
R6011,202.78073,-124.676975,0.0,top
R6012,202.78073,-126.226975,0.0,top
R6013,202.80073,-127.751975,0.0,top
R6014,202.80073,-129.276975,0.0,top
R6015,202.80073,-130.801975,0.0,top
R6016,202.80073,-132.341975,0.0,top
R6017,202.78073,-133.876975,0.0,top
R6018,202.78573,-135.401975,0.0,top
R6019,202.78073,-136.926975,0.0,top
R6020,202.78573,-138.446975,0.0,top
R6021,229.436167,-112.323237,225.0,top
R6022,230.871791,-113.762613,45.0,top
R6023,230.78323,-100.546975,180.0,top
R6024,254.18073,-98.511975,90.0,top
R6025,230.81323,-102.291975,180.0,top
R6026,230.73323,-103.956975,180.0,top
